Term	fdr	es	nes	gene %	lead_genes
positive regulation of cellular biosynthetic process (GO:0031328)	0.14275940437802606	0.3272890928016676	1.6268089298986526	7.12%	NNMT;IGF1;IL1B;THBS1;VIM;IL6;PRR16;EDN1;ZEB2;CXCL8;KLF2;TLR4;CD244
apoptotic process (GO:0006915)	0.14265545165166954	0.31924076459361217	1.626580540620731	11.99%	FAP;CASP4;IL1B;IFIT2;CD14;GDF6;DLC1;PLAGL1;CASP1;FAS;IFI6;IRF1;TRADD;MX1;PRKCE;NLRP1;CASP8;AHR;RNF152
mitochondrion disassembly (GO:0061726)	0.14281512228656668	0.4677095531469408	1.6259758062244758	40.58%	CTSK;GABARAP;SQSTM1;MAP1LC3A;FIS1;GABARAPL2;ATG7;MAP1LC3B;FUNDC2;WDR45;ATG12;CISD2;ATG3
regulation of cellular response to growth factor stimulus (GO:0090287)	0.14275341220476168	0.6079624113740407	1.6256488944994196	16.31%	SFRP4;PCSK6;FST;SLIT2;ITGA3;FSTL3
negative regulation of metallopeptidase activity (GO:1905049)	0.1424342678760473	0.7485954159811297	1.6255399424098862	16.70%	TIMP3;TIMP1;TIMP2;RECK
negative regulation of protein catabolic process (GO:0042177)	0.14444557128008403	0.4573141286434343	1.6231949265079912	21.58%	TIMP3;TIMP1;TIMP2;EGFR;IRAK3;FMN2;CTSA;SIRT2;CST3
negative regulation of hydrolase activity (GO:0051346)	0.14558995453912787	0.46746373583662554	1.621743973347157	10.02%	ECM1;PTX3;CSTA;CPEB2;FICD
regulation of chemokine-mediated signaling pathway (GO:0070099)	0.1469873938774945	0.722796615504252	1.619852648451698	12.51%	SLIT3;EDN1;SLIT2
prostanoid biosynthetic process (GO:0046457)	0.14845584112704416	0.599266048734734	1.6180555740458706	15.76%	PTGS1;EDN1;PTGDS;PTGIS;PLA2G4A
positive regulation of vascular endothelial growth factor production (GO:0010575)	0.14770726054594974	0.5623348944034525	1.6179558927091964	9.72%	IL1B;IL6;IL6ST;GATA4;CYP1B1
regulation of vascular endothelial growth factor production (GO:0010574)	0.14770726054594974	0.5623348944034525	1.6179558927091964	9.72%	IL1B;IL6;IL6ST;GATA4;CYP1B1
negative regulation of interleukin-2 production (GO:0032703)	0.14801275282916063	0.6683749270854241	1.6172509607570433	17.93%	GBP1;NAV3;TNFAIP3;PRNP
regulation of BMP signaling pathway (GO:0030510)	0.14840927593298436	0.40698607589277713	1.6165618432987903	16.90%	SFRP4;GREM1;ENG;PCSK6;FOXD1;BMP4;SMAD9;FST;CRIM1;ITGA3;FSTL3;BMPR2
response to alcohol (GO:0097305)	0.1481749945474333	0.6594560329051086	1.616384955766089	27.08%	SLIT3;SLIT2;TGFBR2;TGFB1;TGFBR3
negative regulation of T cell receptor signaling pathway (GO:0050860)	0.14869799668101003	0.638502227147256	1.6154430542797087	17.93%	GBP1;LGALS3;PHPT1;PRNP
negative regulation of multicellular organismal process (GO:0051241)	0.1494020571494222	0.3050013081047583	1.6143469476546193	10.92%	SRGN;GPNMB;NPR3;DKK1;TIMP1;IL1B;ADAMTS5;NFIB;ALPK2;ARHGDIB;DUSP10;DDIT3;TBX18;PARP3;TLR4;LDLRAD4;LAMA4;BMP4;EGFR;LOXL2
purine-containing compound catabolic process (GO:0072523)	0.14905695453426934	0.6961879599262304	1.6142704007023299	3.98%	NT5E;DPYD
negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101)	0.1496465109684957	0.35152180002690525	1.6131589187745083	20.61%	DKK1;ASPN;GREM1;CAV1;EMILIN1;LDLRAD4;SMAD9;FST;TGFB1I1;CRIM1;PPARA;VEPH1;PBLD;FSTL3;BMPR2;CD109;TGFBR2;UBA52;TGFB1
positive regulation of angiogenesis (GO:0045766)	0.14983159568638968	0.32340770841442046	1.6126247942492915	17.41%	ECM1;ANGPTL4;SERPINE1;ADAM12;RUNX1;IL1B;VEGFC;THBS1;SPHK1;GATA6;CXCL8;FGF1;TWIST1;GATA4;CYP1B1;F3;HSPB6;SEMA5A;SMOC2;GATA2;PTGIS;WNT5A;ITGB8;ITGA5;PRKD1;PRKCA
regulation of cell motility (GO:2000145)	0.15056872780702205	0.3548094763299918	1.6115765550848662	16.14%	FGF7;NRG1;SERPINE2;FGF5;NEXN;FGF1;TWIST1;PLXNA2;EGFR;PHPT1;PLXNA3;HBEGF;DOCK10;LMNA;ARHGAP18;SGK1;PLXNC1
acylglycerol biosynthetic process (GO:0046463)	0.1515196395307145	0.6322599746736177	1.610237301579951	15.99%	ANG;PLCE1;PLA2G4A;PLA2G15
myotube differentiation (GO:0014902)	0.15131463297944217	0.5876215612168176	1.6100394398337377	9.82%	IGF1;ADAM12;ADAMTS5;JAM2
membrane raft assembly (GO:0001765)	0.1510457478706348	0.7024839955696376	1.6098763662348128	22.25%	ANXA2;RFTN1;S100A10;EMP2
cellular response to amyloid-beta (GO:1904646)	0.15101227724189506	0.531401465218854	1.6095457973203615	20.46%	IGF1;CASP4;TLR4;ICAM1;PRNP;ITGA4
response to progesterone (GO:0032570)	0.15119081096883466	0.6490045729818636	1.6090187482828184	8.62%	THBS1;CAV1;TGFB2
proteolysis (GO:0006508)	0.1517873584486194	0.2998877886949064	1.608002854749684	18.55%	SRGN;FAP;CPQ;CASP4;ANPEP;PCSK6;CPA4;DPP4;ERAP2;CASP1;MMP1;CPXM2;BACE2;MMP19;BMP1;CTSB;MMP2;NLRP1;PLAT;F3;CASP8;CTSS;ATG4A;HTRA1;CTSK;CTSA;CPM;ADAMTS12;BACE1;PSENEN;CAPN2;CASP7
cellular response to nitrogen levels (GO:0043562)	0.1518846420780326	0.6542493448146762	1.6070022221341147	34.65%	GABARAP;MAP1LC3A;GABARAPL2;ATG7;MAP1LC3B;NPRL2
cellular response to nitrogen starvation (GO:0006995)	0.1518846420780326	0.6542493448146762	1.6070022221341147	34.65%	GABARAP;MAP1LC3A;GABARAPL2;ATG7;MAP1LC3B;NPRL2
hyaluronan catabolic process (GO:0030214)	0.15229705342334088	0.6498661681136502	1.6061684595512948	8.08%	CEMIP;CD44;HEXA
positive regulation of immune effector process (GO:0002699)	0.15243446769654564	0.6253460138222742	1.6056489474017897	20.33%	IL1B;TNFSF4;DHX58;RPS19
acute inflammatory response (GO:0002526)	0.15217533651311907	0.6612463350093062	1.605514387513225	19.04%	IL6;F3;TNFSF4;APOL2
chemokine-mediated signaling pathway (GO:0070098)	0.1522947280210814	0.5444872613234152	1.605008873949117	7.05%	CCL11;ACKR3;CXCL8;CCL2
regulation of cell adhesion molecule production (GO:0060353)	0.15329950327848466	0.713491661902225	1.6035696514702742	4.54%	IL1B;CAV1;CXCL8
extrinsic apoptotic signaling pathway (GO:0097191)	0.1534223865472004	0.40442775382897234	1.6029588515386013	26.36%	INHBA;G0S2;NGF;FAS;TRADD;TGFB2;CASP8;GABARAP;CD70;TGFB1;CRADD;BAD;ITGAV
ventricular trabecula myocardium morphogenesis (GO:0003222)	0.15340822378550853	0.70318622688265	1.6026192558357182	8.62%	NRG1;ENG;TGFB2
positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090100)	0.15337669000207174	0.368860015334754	1.602256672064462	10.40%	INHBA;CDKN2B;DAB2;ENG;THBS1;ZEB2;GDF6;FOXD1;BMP4;TGFB2;HFE;TGFB1I1
positive regulation of phosphorylation (GO:0042327)	0.15426051112742395	0.3050244445739526	1.6009665287693218	10.47%	FGF7;IGF1;GPNMB;PDGFRA;LIMCH1;NRP1;DAB2;ZBTB20;ENG;IL1B;VEGFC;THBS1;DDR2;FGF5;ANGPT1;FGF1;FAS;ANG;BMP4;PLAUR;EGFR
positive regulation of cell-matrix adhesion (GO:0001954)	0.1542373716458139	0.4380602615381585	1.6006285713307753	11.72%	CDH13;NRP1;RIN2;COL16A1;EFEMP2;CSF1;CCL28;S100A10
signal transduction by p53 class mediator (GO:0072331)	0.15442899842936156	0.5228739177997042	1.6000642911583272	8.69%	IFI16;GREM1;NDRG1
regulation of cell migration (GO:0030334)	0.1540982079772149	0.26935242026289496	1.600008941167021	11.82%	FGF7;IGF1;ANXA1;GPNMB;CDH13;CEMIP;SEMA3C;PDGFRA;COL1A1;LIMCH1;CCL11;SERPINE1;SNAI2;DAB2;ENG;IL1B;THBS1;SPHK1;NAV3;CAV1;EDN1;SERPINE2;FGF5;NEXN;DLC1;DUSP10;FGF1;PLXNA2;PDGFC;LDLRAD4;IGFBP5;WNT5B;TRADD;CSF1;MITF;CYP1B1;EGFR;PLXNA3;F3;PODN;HBEGF;DOCK10;SEMA5A
regulation of biomineral tissue development (GO:0070167)	0.1541032125726771	0.49735324253576163	1.599571330790158	5.87%	ECM1;SGMS2;DDR2;ANKH;TWIST1
positive regulation of extracellular matrix organization (GO:1903055)	0.15386081612476263	0.518357285451064	1.5994444840308417	6.60%	RUNX1;IL6;DDR2;EFEMP2;EMILIN1
cellular defense response (GO:0006968)	0.15384240523660495	0.5958065056603812	1.5990493601060054	36.07%	LY96;FOSL1;ADORA2B;LGALS3BP;TCIRG1;ZNF148;RELA
positive regulation of DNA binding (GO:0043388)	0.15370102235929078	0.4963491348925603	1.5988650403118925	20.61%	IGF1;TWIST1;NGF;PLAUR;HAND2;SIRT2;TGFB1
epidermis development (GO:0008544)	0.1540377325705562	0.453976772277953	1.5981261819323358	16.25%	FGF7;EMP1;SVEP1;GATA6;LAMB3;STS;BNC1;COL7A1
collagen-activated signaling pathway (GO:0038065)	0.15575709624629297	0.5940327265270458	1.596003258590926	3.65%	ITGA11;COL1A1;DDR2
vacuolar acidification (GO:0007035)	0.15570020050180233	0.5792767619072218	1.5956559694180568	34.05%	ATP6V0E1;ATP6V0D1;CLN5;CLN3;GRN;TCIRG1;ATP6AP2
Golgi to plasma membrane transport (GO:0006893)	0.15561312923641674	0.47803876378176413	1.5953657220202306	41.02%	VAMP5;OPTN;ARL3;BLZF1;GOLGA4;SYS1;ARFRP1;CCDC93;MACF1;RAB31;BBS1;GCC2
positive regulation of receptor signaling pathway via STAT (GO:1904894)	0.1561611691517759	0.5333794311468524	1.5944316996841752	10.51%	IL6;IL7R;CYP1B1;IL10RB;TSLP
embryonic skeletal system development (GO:0048706)	0.15598919691609275	0.5523319139939544	1.5941758333312939	15.97%	PDGFRA;COL1A1;OSR2;RBP4;WNT5A;OSR1
regulation of cardiac muscle hypertrophy (GO:0010611)	0.15576432828171774	0.47983511108666005	1.594000291455498	17.41%	IGF1;EDN1;IL6ST;AGT;HAND2;LMCD1;PRKCA
positive regulation of phagocytosis (GO:0050766)	0.15630123343168378	0.43792805923069633	1.5931091811798967	17.97%	IL1B;CCL2;SIRPA;RAB27A;GATA2;IL15RA;GAS6;CD47
retinal metabolic process (GO:0042574)	0.15673855582894938	0.6563194975437436	1.592231520057556	9.72%	AKR1C3;AKR1C1;RDH10;CYP1B1
cellular response to heat (GO:0034605)	0.15902436185329988	0.5396343876617175	1.589737689996223	38.09%	THBS1;FGF1;HSBP1L1;TPR;HSBP1;SLU7;BAG3;PRKACA
cellular response to virus (GO:0098586)	0.16032768320557692	0.5760534262143729	1.5881404012786569	20.06%	IL6;IFI6;IFIH1;LGALS8;POU2F2
positive regulation of nuclear division (GO:0051785)	0.16016795572035553	0.6164683838461643	1.5878227867901205	18.92%	IGF1;IL1B;EDN1;PDGFRB;SIRT2
neutrophil chemotaxis (GO:0030593)	0.1655931032867099	0.5056869577215526	1.5824524435950507	8.62%	CCL11;EDN1;CXCL8;LGALS3;CCL2;TGFB2
regulation of extracellular matrix organization (GO:1903053)	0.16650770670444334	0.534682357602482	1.581160681121817	7.40%	FAP;RUNX1;DDR2;EFEMP2;AGT
muscle contraction (GO:0006936)	0.16735528418002238	0.3486988007006377	1.580024748853381	24.70%	ACTA2;CRYAB;MYOF;LMOD1;VIM;SSPN;OXTR;TTN;CALD1;PGAM2;ACTG2;MYL6;SLC8A1;TPM2;MYL5;DMD;MYL12A;ITGA1;MYLK;SMTN;ALDOA;MYL9
defense response to Gram-negative bacterium (GO:0050829)	0.16790958648020937	0.569391378281833	1.5791463980170959	12.10%	SERPINE1;IL6;MR1;TLR4;OPTN
negative regulation of cell cycle G2/M phase transition (GO:1902750)	0.16896931544186042	0.4857599402459418	1.5775866755467678	47.94%	PSMD9;SKP1;PSMB2;FHL1;RBX1;PSMF1;PSMA5;ATF5;PSME1;PSME2;PSMB10;PSMA1;USP47;PSMC5
aerobic respiration (GO:0009060)	0.1704261711636017	0.6292082649563525	1.575600568796896	29.30%	ME3;UQCRB;UQCR10;UQCRHL;MTFR1L;SDHC
defense response to Gram-positive bacterium (GO:0050830)	0.17007521486449623	0.6448055259143407	1.5755468886996953	7.70%	IL6;MR1;GBP2;ANG
post-translational protein modification (GO:0043687)	0.16971943278938442	0.28428733225373287	1.5755015369245489	9.37%	IGFBP7;FBN1;IGFBP3;EPAS1;FBXO32;PRSS23;SCG2;TIMP1;TNC;LGALS1;IL6;FN1;APOL1;EVA1A;MXRA8;IGFBP5;FBXO4;LMO7;BMP4;CSF1;FBXL13
regulation of epithelial to mesenchymal transition involved in endocardial cushion formation (GO:1905005)	0.16939132681217128	0.6960509077297397	1.5754001014284194	30.46%	ENG;TGFB2;TGFBR2;TGFB1;ACVR1
regulation of protein kinase B signaling (GO:0051896)	0.1707458150867506	0.31557947579319856	1.5737907367595132	17.35%	FGF7;PDGFRA;NRG1;ENG;THBS1;AKR1C3;FGF5;ANGPT1;DDIT3;FGF1;GATA4;EGFR;F3;HBEGF;RAC2;PPARA;AKR1C2;SEMA5A;ITGB1BP1;TNFAIP8L3;RCN3;GAS6;AXL
iron ion transport (GO:0006826)	0.17055577207454584	0.43753919465593594	1.573604478428437	39.30%	SLC40A1;HFE;ATP6V0E1;ATP6V0D1;ATP6AP1;ATP6V0C;TCIRG1;ATP6V1G1;FTH1;ATP6V1D;ATP6V0B;ATP6V1E1;ARHGAP1;ATP6V1F;STEAP3
positive regulation of epithelial to mesenchymal transition (GO:0010718)	0.1707663568057653	0.42073770907705815	1.5729894656379442	20.61%	COL1A1;DAB2;IL1B;IL6;TWIST1;TGFB2;TGFB1I1;LOXL2;WWTR1;TGFBR2;TGFB1
positive regulation of neuron apoptotic process (GO:0043525)	0.17076047490328047	0.5229831173715529	1.572623656267331	17.93%	NUPR1;DDIT3;TFAP2A;TGFB2;BACE1;PRNP
regulation of chemokine production (GO:0032642)	0.17198341754509186	0.467066110313073	1.5710585760380884	15.56%	SNAI2;IL6;TLR4;TSLP;FOXP1;TNFSF4;WNT5A
cellular response to catecholamine stimulus (GO:0071870)	0.17160020173525672	0.605071884812782	1.5710324675684715	18.92%	TGM2;ADCY6;ATP2B4;SIRT2
positive regulation of tumor necrosis factor production (GO:0032760)	0.17084872477908014	0.4030100506738616	1.5709920443135215	9.55%	LY96;THBS1;IL6;CD14;OAS3;TWIST1;TLR4;IFIH1
positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557)	0.17084872477908014	0.4030100506738616	1.5709920443135215	9.55%	LY96;THBS1;IL6;CD14;OAS3;TWIST1;TLR4;IFIH1
response to peptide hormone (GO:0043434)	0.17073147863927476	0.4858159504248508	1.5706551352035814	34.37%	ANXA1;CAV1;IGFBP5;STAT2;TRIM16;TGFBR3;STAT1;EIF6
negative regulation of cysteine-type endopeptidase activity involved in apoptotic process (GO:0043154)	0.17172458343645475	0.4059269460390387	1.5692371552167972	17.09%	CD44;THBS1;CARD16;NGF;IFI6;PLAUR;CDKN2D;NOL3;GAS6
Golgi to plasma membrane protein transport (GO:0043001)	0.1724789612552429	0.5056295302051177	1.568288157983273	41.02%	VAMP5;OPTN;BLZF1;GOLGA4;SYS1;ARFRP1;MACF1;RAB31;BBS1;GCC2
negative regulation of lipid storage (GO:0010888)	0.17213781362751474	0.6064828738081482	1.5682074156046364	26.70%	IL6;ABCA1;PPARA;ITGAV;ABHD5
regulation of tissue remodeling (GO:0034103)	0.17244375200332115	0.5517118053245262	1.5675517448326364	21.58%	GPNMB;RUNX1;DDR2;HAND2;TGFB1;CST3
response to amyloid-beta (GO:1904645)	0.17442897971324306	0.4926664971556458	1.5652767025037981	20.46%	IGF1;CASP4;TLR4;MMP2;ICAM1;PRNP;ITGA4
antiviral innate immune response (GO:0140374)	0.1743615062585194	0.6944374680907481	1.5650138770913022	10.42%	IFIT1;MX1;NLRP1
regulation of Wnt signaling pathway, planar cell polarity pathway (GO:2000095)	0.173966005693852	0.6939921392476137	1.5650064832827564	30.67%	DKK1;DAB2;PLEKHA4;MLLT3;DACT1
negative regulation of biosynthetic process (GO:0009890)	0.1736721584170353	0.7045039531260406	1.5649318661250604	11.50%	IL6;EMILIN1;PPARA
regulation of apoptotic process (GO:0042981)	0.17516011480010618	0.2458723441836495	1.5631879807563727	17.39%	SFRP4;IGF1;CRYAB;ANXA1;NUPR1;DKK1;COMP;CD44;IGFBP3;GREM1;ANGPTL4;IFIT3;ANKRD1;DAB2;LGALS1;IFIT2;THBS1;IL6;SPHK1;GATA6;ALPK2;ANGPT1;CASP1;IL6ST;NGF;FAS;ANXA4;KCNMA1;NAA38;IFI6;TFAP2A;AGT;TGM2;SMPD1;TRADD;BMP4;NDRG1;TBX3;CTSB;PLAUR;CYP1B1;EGFR;TSLP;MAP3K5;FRZB;CASP8;CALHM2;SLIT2;GRK5;ANXA5;FMN2;EVI2B;NOL3;FANK1;AIFM2;FHL2;TPT1;CASP10;TMBIM4;WNT5A;OSR1;SGK1;GAS6;AXL;PSENEN;SQSTM1
regulation of adaptive immune response (GO:0002819)	0.17498910232719	0.6222990512677123	1.5629508755190098	14.21%	IL6ST;IRF1;AHR;TNFSF4
regulation of immunoglobulin production (GO:0002637)	0.17511942248623602	0.5811880048513529	1.5624393097625275	14.21%	IL6;CLCF1;RBP4;TNFSF4
regulation of type I interferon production (GO:0032479)	0.17626004119816172	0.35512344685833996	1.5609086905447627	33.04%	IFI16;CD14;IRF1;UBA7;TNFAIP3;IFIH1;NLRC5;TREX1;POLR2L;DHX58;POLR3GL;ISG15;CYLD;TAX1BP1;TRIM56;PCBP2;TRIM25;NFKB1;DDX58
cellular response to mechanical stimulus (GO:0071260)	0.1762172391708608	0.4165442371187193	1.5606289297073963	11.61%	ANKRD1;IL1B;CASP1;FAS;TLR4;IRF1;CASP8;LTBR
activation of phospholipase C activity (GO:0007202)	0.17939666240096513	0.6446010466057913	1.5575231186677554	12.60%	LPAR1;ANG;EGFR;BDNF
regulation of phagocytosis (GO:0050764)	0.17928554899566246	0.4134956325121039	1.5571923075031828	17.97%	IL1B;SPHK1;TGM2;SIRPA;RAB27A;GATA2;IL15RA;GAS6;CD47
positive regulation of protein autophosphorylation (GO:0031954)	0.18066992533724	0.5294365887003194	1.5555231517867274	8.53%	GPNMB;GREM1;PDGFC;NEK10
negative regulation of DNA damage response, signal transduction by p53 class mediator (GO:0043518)	0.18099048199627793	0.5971833211118089	1.5547842399643423	5.87%	CD44;SNAI2;TWIST1
heart development (GO:0007507)	0.1807484473225945	0.30340475966618413	1.5546051364551654	13.31%	COL3A1;FBN1;MICAL2;PDLIM3;FN1;ALPK2;DLC1;CRIP1;HEG1;GATA4;ZFPM2;KAT2B;BMP4;TGFB2;PLCE1;HAND2;CASP8;PDLIM2;PDLIM4;RBP4
cellular response to acid chemical (GO:0071229)	0.1814629666323776	0.5314112662815087	1.5535744256579322	37.42%	KLF2;CAPN2;RRAGC;LAMTOR5;LAMTOR3;VEGFA;LAMTOR2;RRAGB
positive regulation of chemokine production (GO:0032722)	0.18365286303800263	0.4263757334575692	1.551198686302838	15.56%	IL1B;IL6;OAS3;TWIST1;TLR4;TSLP;TNFSF4;WNT5A
negative regulation of ion transmembrane transporter activity (GO:0032413)	0.18418200951535746	0.5847907065793048	1.5503282621864756	23.39%	SLN;HECW2;PRKCE;OSR1;NEDD4;CAMK2D
positive regulation of response to DNA damage stimulus (GO:2001022)	0.18460603186524394	0.425511409311031	1.5495996300181625	10.47%	ANKRD1;PLA2R1;NPAS2;EYA4;ERCC6;EGFR
regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090092)	0.1852181679548532	0.4412302245967719	1.548586796270681	20.61%	SFRP4;ENG;PCSK6;FST;DKK3;ITGA3;FSTL3;TGFB1
positive regulation of cytokine production involved in inflammatory response (GO:1900017)	0.18616762441079787	0.635388207494044	1.5474336007368703	15.20%	IL6;TLR4;TICAM1
regulation of osteoclast differentiation (GO:0045670)	0.18583981917249964	0.5101523808341374	1.5473658003687953	20.12%	FBN1;LRRC17;TLR4;CSF1;FSTL3;TCTA
receptor internalization (GO:0031623)	0.185756126933732	0.45904393994595266	1.5470719510720998	28.33%	CAV1;ACKR3;CXCL8;RAMP1;MX1;DNM3;NEDD4;SNX1;LRP1
negative regulation of angiogenesis (GO:0016525)	0.1859747201018297	0.3701889616332482	1.5465027479780413	18.34%	DCN;SERPINE1;THBS1;THBS2;SPARC;KLF2;EMILIN1;TGFB2;ADAMTS1;ATP2B4;CREB3L1;PTPRM
neutrophil migration (GO:1990266)	0.18965825517479384	0.4792647168632891	1.5428470710216464	8.62%	CCL11;EDN1;CXCL8;LGALS3;CCL2;TGFB2
negative regulation of immune effector process (GO:0002698)	0.1921143358115902	0.6997941231517872	1.5404499111595076	30.09%	LGALS3;FER;CD47;RPS19;GRN
positive regulation of transcription by RNA polymerase II (GO:0045944)	0.1948655418097839	0.23650536585309964	1.5376581349553027	12.38%	DCN;INHBA;IGF1;CDH13;IFI16;EPAS1;NR2F2;MICAL2;CDKN2B;GREM1;SERPINE1;DAB2;ENG;RUNX1;NFIC;NFIX;IL6;FOSL2;GATA6;NFIB;GLIS3;EDN1;ZEB2;ZFHX3;MEIS2;PLAGL1;MEIS1;DDIT3;FGF1;RUNX2;PID1;SMARCD3;TWIST1;TCF21;EGR2;IL11;ELF4;KLF2;TLR4;VDR;RNASEL;TFAP2A;NPAS2;GATA4;ZFPM2;LMO7;IRF1;KAT2B;BMP4;TGFB2;TBX3;MITF;SMAD9;GABPB2;NR3C1;HAND2;MAML2;NLRC5;ADIRF;FOSL1;EGFR;NFIA;ZBTB38;NCOA7;PPARA;AHR;OSR2;ITGB1BP1;ATOH8
positive regulation of T cell proliferation (GO:0042102)	0.19472453524962538	0.42434440897100234	1.5374496814727387	5.37%	IGF1;ANXA1;IL1B;IL6;PDCD1LG2;IL6ST
peptide metabolic process (GO:0006518)	0.1948768575395034	0.3821134842553833	1.5369737702559718	30.65%	CPQ;GSTM3;ANPEP;ERAP2;CPXM2;BACE2;CPM;BACE1;DMD;AEBP1;TPP1;CLN5;GSTK1;GLRX2;LNPEP;DNPEP
negative regulation of B cell activation (GO:0050869)	0.19447386418436324	0.579891678406228	1.536956428436835	9.12%	INHBA;PARP3;TNFAIP3
response to molecule of bacterial origin (GO:0002237)	0.19510592251264347	0.38539268210786654	1.535923076095076	18.92%	LY96;IL1B;IL6;CD14;CXCL8;TLR4;SRR;TNFAIP3;FOXP1;IRAK3;IFNAR1;FER;SIRT2
regulation of Ras protein signal transduction (GO:0046578)	0.1951477422349879	0.36290522181503393	1.5355172641931665	9.03%	IGF1;ARHGDIB;DLC1;NGF;ARHGEF28;EPS8;TGFB2;STARD13;PLCE1
regulation of interleukin-6 production (GO:0032675)	0.19602769524271896	0.3566207442789673	1.5344457232231603	20.06%	IL1B;IL6;TWIST1;TLR4;HLA-B;IL16;TNFAIP3;IFIH1;TSLP;IRAK3;SIRPA;TNFSF4;WNT5A;GAS6;CD47;POU2F2
cardiac muscle tissue development (GO:0048738)	0.19617849244456667	0.4117836483198292	1.5339146710628409	16.90%	NRG1;ANKRD1;GATA6;TBX18;GATA4;TTN;BMP4;RBP4;MSC;BMPR2
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	0.1966992982299473	0.32179556588889946	1.5330544817912837	10.40%	COL3A1;INHBA;LTBP2;COL1A2;ENG;LPXN;LRRC32;GDF6;RUNX2;BMP4;TGFB2;HFE;SMAD9;TGFB1I1
cholesterol efflux (GO:0033344)	0.19706351703425173	0.5724180949746028	1.5323993576177968	21.82%	ABCA8;SOAT1;ABCA1;ABCA5;STX12;NPC2
protein kinase B signaling (GO:0043491)	0.1966706000940591	0.5141006336271815	1.5323776911850246	20.61%	IGF1;IL1B;CCL2;GAS6;NKX3-1;SIRT2;TGFB1
response to interferon-gamma (GO:0034341)	0.19627356258268597	0.38945364398616605	1.5323542569530624	18.83%	CCL11;SP100;GBP1;CASP1;GBP2;GBP3;TLR4;CCL2;SIRPA;WNT5A;CD47;CXCL16;IFITM3
superoxide metabolic process (GO:0006801)	0.19629780014914852	0.6280400456676197	1.5319788784113284	14.94%	NOX4;SH3PXD2A;ATP7A
regulation of cartilage development (GO:0061035)	0.19589458281475064	0.5734875167745861	1.5319699010722636	16.90%	TRPS1;BMP4;BMP1;BMPR2
negative regulation of nervous system development (GO:0051961)	0.19588206413255382	0.5480575042210407	1.5316137718447076	22.18%	CCL11;IL1B;IL6;B2M;HOOK3;DYNLT1
cellular senescence (GO:0090398)	0.1956970818943796	0.49471356957096113	1.5314066834753386	8.98%	CDKN2A;CDKN2B;TBX3
innate immune response (GO:0045087)	0.19540672150062074	0.30994898354998945	1.5312906614341248	22.14%	MFAP4;SP100;PTX3;IFIT1;APOL1;TRIM38;IFI6;TLR4;ANG;SMPD1;ALPK1;IFIH1;NLRC5;MX1;NLRP1;B2M;WFDC3;APOBEC3G;FER;DHX58;COLEC12;CXCL16;TIFA;IFITM3;ISG15;CYLD;CALCOCO2;IRAK4
gliogenesis (GO:0042063)	0.1950087867569109	0.6236672613879279	1.5312805877524875	8.62%	ANXA1;NFIB;TGFB2
vesicle coating (GO:0006901)	0.19514229213389686	0.3922617598249679	1.5301033387305156	50.26%	CD59;F8;COL7A1;SAR1B;TBC1D20;GOSR2;TRAPPC2L;TMED10;SEC31A;GOLGA2;CNIH1;BET1;SEC22B;SEC13;NAPA;MCFD2;CTSZ;SCFD1;LMAN1;TRAPPC4;CSNK1D;SEC24D;SEC23A
COPII vesicle coating (GO:0048208)	0.19514229213389686	0.3922617598249679	1.5301033387305156	50.26%	CD59;F8;COL7A1;SAR1B;TBC1D20;GOSR2;TRAPPC2L;TMED10;SEC31A;GOLGA2;CNIH1;BET1;SEC22B;SEC13;NAPA;MCFD2;CTSZ;SCFD1;LMAN1;TRAPPC4;CSNK1D;SEC24D;SEC23A
vesicle targeting, rough ER to cis-Golgi (GO:0048207)	0.19514229213389686	0.3922617598249679	1.5301033387305156	50.26%	CD59;F8;COL7A1;SAR1B;TBC1D20;GOSR2;TRAPPC2L;TMED10;SEC31A;GOLGA2;CNIH1;BET1;SEC22B;SEC13;NAPA;MCFD2;CTSZ;SCFD1;LMAN1;TRAPPC4;CSNK1D;SEC24D;SEC23A
negative regulation of catalytic activity (GO:0043086)	0.20042661128390973	0.5342676289461424	1.525146913714531	13.50%	TIMP1;IFIT1;SLN;PHPT1;PARP9
negative regulation of defense response (GO:0031348)	0.20024051127894785	0.391200690639815	1.5249626531457936	18.92%	IFI16;TNFAIP6;TNFAIP3;PPARA;IRAK3;SIRPA;NMI;PTGIS;PTGER4;DHX58;SIRT2
NIK/NF-kappaB signaling (GO:0038061)	0.20054997388728807	0.4788151481064867	1.524319452746286	52.24%	PSMD9;SKP1;PSMB2;PSMF1;PSMA5;PSME1;RELA;PSME2;COPS8;PSMB10;PSMA1;PSMC5;MALT1;CUL1
positive regulation of apoptotic signaling pathway (GO:2001235)	0.20181180908684718	0.39289858838981795	1.5229139670124259	26.31%	NUPR1;CAV1;G0S2;DDIT3;FAS;AGT;LTBR;NKX3-1;CYLD;FIS1;CRADD;BAD;TPD52L1
response to UV-A (GO:0070141)	0.20255878057613086	0.5668782182985959	1.521934843283726	10.47%	TIMP1;MMP1;MMP2;EGFR
